"id","name","country_id/id","name@fr","name@nl"
"tax_group_tva_21","TVA 21%","base.be","TVA 21%","BTW 21%"
"tax_group_tva_12","TVA 12%","base.be","TVA 12%","BTW 12%"
"tax_group_tva_6","TVA 6%","base.be","TVA 6%","BTW 6%"
"tax_group_tva_0","TVA 0%","base.be","TVA 0%","BTW 0%"
