"id","name","code","account_type","chart_template_id/id","tag_ids/id","reconcile"
"l10n_bo_4101","Ventas",4101,"income","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_4102","Devoluciones, Rebajas y Descuetos de Bienes y/o Servicios",4102,"income","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_4201","Intereses Sobre Depósitos Bancarios",4201,"income","l10n_bo.bo_chart_template","account.account_tag_investing","False"
"l10n_bo_4202","Intereses de Inversiones Temporales",4202,"income","l10n_bo.bo_chart_template","account.account_tag_investing","False"
"l10n_bo_4203","Otros Ingresos Financieros",4203,"income","l10n_bo.bo_chart_template","account.account_tag_investing","False"
"l10n_bo_4301","Ajuste por Inflación y Tenencie de Bienes",4301,"income","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_4302","Ingresos por Venta de Valores",4302,"income","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_4303","Ganancia Cambiaria",4303,"income","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_4304","Otros Ingresos",4304,"income_other","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5101","Costos de Productos",5101,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5102","Fletes y Transportes de Productos",5102,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5103","Devolución en Compras",5103,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5104","Descuentos Sobre Compras",5104,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5105","Costo de Productos Dañados",5105,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5201","Gastos de Comercialización - Sueldos y Salarios",5201,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5202","Gastos de Comercialización - Beneficios Sociales",5202,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5203","Gastos de Comercialización - Comisiones Sobre Ventas",5203,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5204","Gastos de Comercialización - Víaticos",5204,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5205","Gastos de Comercialización - Pasajes",5205,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5206","Gastos de Comercialización - Publicidad",5206,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5207","Gastos de Comercialización - Depreciación de Bienes de Uso",5207,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5208","Gastos de Comercialización - Pérdida en Cuentas Incobrabres",5208,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5209","Otros Gastos de Comercialización",5209,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_52091","Impuesto a las Transacciones",52091,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_52092","Retenciones IT",52092,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_52093","Retenciones IUE",52093,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_53001","Gastos de Administración - Sueldos y Salarios",53001,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_53002","Gastos de Administración - Beneficios Sociales",53002,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_53003","Gastos de Administración - Provisión Aguinaldos",53003,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_53004","Gastos de Administración - Previsión Indemnizaciones",53004,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_53005","Gastos de Administración - Víaticos",53005,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_53006","Gastos de Administración - Pasajes",53006,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_53007","Gastos de Administración - Servicios Básicos",53007,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_53008","Gastos de Administración - Materiales y Suministros",53008,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_53009","Gastos de Administración - Fletes y Transporte",53009,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_53010","Gastos de Administración - Mantenimento y Reparación",53010,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_53011","Gastos de Administración - Depreciación de Bienes de Uso",53011,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_53012","Gastos de Administración - Alquileres",53012,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_53013","Gastos de Administración - Seguros",53013,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_53014","Gastos de Administración - Servicio de Seguridad",53014,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_53015","Gastos de Administración - Gastos Generales",53015,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_53016","Otros Gastos de Administración",53016,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5401","Intereses Sobre Préstamos Bancarios",5401,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5402","Intereses Sobre Otras Obligaciones Financieras",5402,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5403","Otros Intereses",5403,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5404","Comisiones Bancarias",5404,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5405","Otros Gastos Financieros",5405,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_550","Otros Gastos de Operación",550,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5601","Ajuste por Inflación y Tenencie de Bienes",5601,"expense_depreciation","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5602","Pérdida Cambiaria",5602,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_5603","Otros Gastos",5603,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_570","Impuesto Sobre las Utilidades de las Empresas",570,"expense","l10n_bo.bo_chart_template","account.account_tag_operating","False"
