"id","code_prefix_start","name"
"chart_sk_326","326","Nevyfakturované dodávky"
"chart_sk_33","33","Zúčtovanie so zamestnancami a orgánmi sociálneho poistenia a zdravotného poistenia"
"chart_sk_331","331","Zamestnanci"
"chart_sk_333","333","Ostatné záväzky voči zamestnancom"
"chart_sk_335","335","Pohľadávky voči zamestnancom"
"chart_sk_336","336","Zúčtovanie s orgánmi sociálneho zabezpečenia a zdravotného poistenia"
"chart_sk_34","34","Zúčtovanie daní a dotácií"
"chart_sk_341","341","Daň z príjmov"
"chart_sk_342","342","Ostatné priame dane"
"chart_sk_343","343","Daň z pridanej hodnoty"
"chart_sk_345","345","Ostatné dane a poplatky"
"chart_sk_346","346","Dotácie zo štatneho rozpočtu"
"chart_sk_347","347","Ostatné dodácie"
"chart_sk_35","35","Pohľadávky voči spoločníkom a združeniu"
"chart_sk_351","351","Pohľadávky voči prepojeným účtovným jednotkám a účtovným jednotkám v rámci podielovej účasti"
"chart_sk_353","353","Pohľadávky za upísané vlastné imanie"
"chart_sk_354","354","Pohľadávky voči spoločníkom a členom pri úhrade straty"
"chart_sk_355","355","Ostatné pohľadávky voči spoločníkom a členom"
"chart_sk_358","358","Pohľadávky voči účastníkom združenia"
"chart_sk_36","36","Záväzky voči spoločníkom a združeniu"
"chart_sk_361","361","Záväzky v rámci konsolidovaného celku"
"chart_sk_364","364","Záväzky voči spoločníkom a členom pri rozdeľovaní zisku"
"chart_sk_365","365","Ostatné záväzky voči spoločníkom a členom"
"chart_sk_366","366","Záväzky voči spoločníkom a členom zo závislej činnosti"
"chart_sk_367","367","Záväzky z upísaných nesplatených cenných papierov a vkladov"
"chart_sk_368","368","Záväzky voči účastníkom združenia"
"chart_sk_37","37","Iné pohľadávky a iné záväzky"
"chart_sk_371","371","Pohľadávky z predaja podniku"
"chart_sk_372","372","Záväzky z kúpy podniku"
"chart_sk_373","373","Pohľadávky a záväzky z pevných termínových operácií"
"chart_sk_374","374","Pohľadávky z nájmu"
"chart_sk_375","375","Pohľadávky z vydaných dlhopisov"
"chart_sk_376","376","Nakúpené opcie"
"chart_sk_377","377","Predané opcie"
"chart_sk_378","378","Iné pohľadávky"
"chart_sk_379","379","Iné záväzky"
"chart_sk_38","38","Časové rozlíšenie nákladov a výnosov"
"chart_sk_381","381","Náklady budúcich období"
"chart_sk_382","382","Komplexné náklady budúcich období"
"chart_sk_383","383","Výdaje budúcich období"
"chart_sk_384","384","Výnosy budúcich období"
"chart_sk_385","385","Príjmy budúcich období"
"chart_sk_39","39","Opravná položka k zúčtovacím vzťahom a vnútorné zúčtovanie"
"chart_sk_391","391","Opravná položka k pohľadávkam"
"chart_sk_395","395","Vnútorné zúčtovanie"
"chart_sk_398","398","Spojovací účet pri združení"
"chart_sk_4","4","Kapitálové účty a dlhodobé záväzky"
"chart_sk_41","41","Základné imanie a kapitálové fondy"
"chart_sk_411","411","Základné imanie"
"chart_sk_412","412","Emisné ážio"
"chart_sk_413","413","Ostatné kapitalové fondy"
"chart_sk_414","414","Oceňovacie rozdiely z precenenia majetku a záväzkov"
"chart_sk_415","415","Oceňovacie rozdiely z kapitálových účastín"
"chart_sk_416","416","Oceňovacie rozdiely z precenenia pri zlúčení, splynutí a rozdelení"
"chart_sk_417","417","Zákonný rezervný fond z kapitálových vkladov"
"chart_sk_418","418","Nedeliteľný fond z kapitálových vkladov"
"chart_sk_419","419","Zmeny základného imania"
"chart_sk_42","42","Fondy tvorené zo zisku a prevedené výsledky hospodárenia"
"chart_sk_421","421","Zakonný rezervný fond"
"chart_sk_422","422","Nedeliteľný fond"
"chart_sk_423","423","Štatutárne fondy"
"chart_sk_427","427","Ostatné fondy"
"chart_sk_428","428","Nerozdelený zisk minulých rokov"
"chart_sk_429","429","Neuhradená strata minulých rokov"
"chart_sk_43","43","Výsledok hospodárania"
"chart_sk_431","431","Výsledok hospodárenia v schvaľovaní"
"chart_sk_45","45","Rezervy"
"chart_sk_451","451","Rezervy zákonné"
"chart_sk_459","459","Ostatné rezervy"
"chart_sk_46","46","Bankové úvery"
"chart_sk_461","461","Bankové úvery"
"chart_sk_47","47","Dlhodobé záväzky"
"chart_sk_471","471","Dlhodobé záväzky voči prepojeným účtovným jednotkám a účtovným jednotkám v rámci podielovej účasti"
"chart_sk_472","472","Záväzky zo sociálneho fondu"
"chart_sk_473","473","Vydané dlhopisy"
"chart_sk_474","474","Záväzky z nájmu"
"chart_sk_475","475","Dlhodobé prijaté preddavky"
"chart_sk_476","476","Dlhodobé nevyfakturované dodávky"
"chart_sk_478","478","Dlhodobé zmenky na úhradu"
"chart_sk_479","479","Ostatné dlhodobé záväzky"
"chart_sk_48","48","Odložený daňový záväzok a odložená daňová pohľadávka"
"chart_sk_481","481","Odložený daňový záväzok a odložená daňová pohľadávka"
"chart_sk_49","49","Fyzická osoba - podnikateľ"
"chart_sk_491","491","Vlastné imanie fyzickej osoby - podnikateľa"
"chart_sk_5","5","Náklady"
"chart_sk_50","50","Spotrebované nákupy"
"chart_sk_501","501","Spotreba materiálu"
"chart_sk_502","502","Spotreba energie"
"chart_sk_503","503","Spotreba ostatných neskladovateľných dodávok"
"chart_sk_504","504","Predaný tovar"
"chart_sk_505","505","Tvorba a zúčtovanie opravných položiek k zásobám"
"chart_sk_507","507","Predaná nehnuteľnosť"
"chart_sk_51","51","Služby"
"chart_sk_511","511","Opravy a udržiavanie"
"chart_sk_512","512","Cestovné"
"chart_sk_513","513","Náklady na reprezentáciu"
"chart_sk_518","518","Ostatné služby"
"chart_sk_52","52","Osobné náklady"
"chart_sk_521","521","Mzdové náklady"
"chart_sk_522","522","Príjmy spoločníkov a členov zo závislej činnosti"
"chart_sk_523","523","Odmeny členom orgánov spoločnosti a družstva"
"chart_sk_524","524","Zákonné sociálne poistenie"
"chart_sk_525","525","Ostatné sociálne zabezpečenie"
"chart_sk_526","526","Sociálne náklady fyzickej osoby - podnikateľa"
"chart_sk_527","527","Zákonné sociálne náklady"
"chart_sk_528","528","Ostatné sociálne náklady"
"chart_sk_53","53","Dane a poplatky"
"chart_sk_531","531","Daň z motorových vozidiel"
"chart_sk_532","532","Daň z nehnuteľností"
"chart_sk_538","538","Ostatné dane a poplatky"
"chart_sk_54","54","Iné náklady na hospodársku činnosť"
"chart_sk_541","541","Zostatková cena predaného dlhodobého nehmotného majetku a dlhodobého hmotného majetku"
"chart_sk_542","542","Predaný materiál"
