"id","name","country_id/id","name@fi"
"tax_group_24","VAT 24%","base.fi","ALV 24%"
"tax_group_14","VAT 14%","base.fi","ALV 14%"
"tax_group_10","VAT 10%","base.fi","ALV 10%"
"tax_group_0","VAT 0%","base.fi","ALV 0%"
