"id","name","country_id/id"
"l10n_cn_tax_group_vat_6","VAT 6%","base.cn"
"l10n_cn_tax_group_vat_9","VAT 9%","base.cn"
"l10n_cn_tax_group_vat_13","VAT 13%","base.cn"
